Gene,Inheritance
HMGCR,AR
HMGCS2,AR
HMOX1,AR
HMX1,AR
HNF4A,AD
HNRNPH2,XL
HNRNPK,AD
HNRNPR,AD
HNRNPU,AD
HOGA1,AR
HPDL,AR
HPRT1,XL
HPS1,AR
HPS3,AR
HPS4,AR
HPS5,AR
HPS6,AR
HSD11B2,AR
HSD17B10,XL
HSD17B4,AR
HSD17B4,AR
HSD3B7,AR
HSPB1,AD
HSPB8,AD
HSPG2,AR
HSPG2,AR
HTRA2,AR
HTT,AD
HUWE1,XL
HYAL1,AR
HYDIN,AR
HYKK,UD
IARS2,AR
IBA57,AR
ICOS,AR
ICOSLG,AR
ID2,AD
IDH2,AD
IDH3B,AR
IDS,XL
IDUA,AR
IFIH1,AD
IFT122,AR
IFT140,AR
IGBP1,XL
IGF2,AD
IGHM,AR
IGHMBP2,AR
IGKC,AR
IGLL1,AR
IKBKB,AR
IKBKG,XL
IKBKG,XL
IKZF1,AD
IKZF1,AD
IKZF2,SD
IKZF3,AD
IL10RA,AR
IL10RB,AR
IL1RAPL1,XL
IL21,AR
IL21R,AR
IL2RB,AR
IL2RG,XL
IL6R,AR
IL7R,AR
ILDR1,AR
ILK,AD
IMPG2,AR
INF2,AD
INO80,AR
INPP5E,AR
INPP5E,AR
INS,AR
INS,AD
INVS,AR
IQCB1,AR
IQSEC2,XL
IRF2BP2,AD
IRF2BPL,AD
IRF4,AD
IRX4,AD
ISCA2,AR
ISCU,AR
ISL1,AD
ITGA2B,AD
ITGA3,AR
ITGB3,AD
ITK,AR
ITPA,AR
ITPKB,AR
IVD,AR
JAG2,AR
JAK3,AR
JPH2,SD
JPH2,AD
KANSL1,AD
KARS1,AR
KAT6A,AD
KAT6B,AD
KAT6B,AD
KATNAL2,AD
KATNIP,AR
KCNA2,AD
KCNB1,AD
KCNC1,AD
KCNC1,AD
KCNC2,AD
KCNE1,AD
KCNE2,AD
KCNH1,AD
KCNH2,AD
KCNH2,AD
KCNH5,AD
KCNJ10,AD
KCNJ10,AR
KCNJ11,AD
KCNJ16,AR
KCNJ2,UD
KCNJ2,AD
KCNJ2,AD
KCNJ2,AD
KCNJ5,AD
KCNK3,AD
KCNMA1,AD
KCNMA1,AR
KCNQ1,AR
KCNQ1,AD
KCNQ1,AD
KCNQ2,AD
KCNQ2,AD
KCNQ2,AD
KCNQ3,AD
KCNQ3,AR
KCNQ3,AD
KCNQ4,AD
KCNT1,AD
KCNV2,AR
KCTD7,AR
KDM5A,AD
KDM5B,AR
KDM5C,XL
KDM6A,XL
KDM6B,AR
KDM6B,AD
KDR,AD
KDSR,AR
KIDINS220,AD
KIDINS220,AR
KIF11,AD
KIF1A,AD
KIF1B,AD
KIF20A,AR
KIF21A,AD
KIF26A,AR
KIF4A,XL
KIF5A,AD
KIF5A,AD
KIF5C,AD
KIFBP,AR
KIRREL3,AD
KIT,AD
KITLG,AD
KLF13,AD
KLF2,AD
KLHL24,AR
KLHL40,AR
KLK1,AD
KLKB1,AR
KMO,AR
KMT2A,AD
KMT2B,AD
KMT2C,AD
KMT2E,AD
KMT5B,AD
KNG1,AR
KYNU,AR
L1CAM,XL
L2HGDH,AR
LAMA2,AR
LAMA4,AD
LAMC3,AD
LAMP2,XL
LARGE1,AR
LAS1L,XL
LAT,AR
LBR,AR
LBR,AR
LCA5,AR
LCK,AR
LCP2,AR
LDB3,AD
LDB3,AD
LDLR,SD
LDLRAP1,AR
LEFTY2,AD
LGALSL,UD
LGI1,AD
LHFPL5,AR
LIAS,AR
LIFR,AR
LIG4,AR
LIMS2,AR
LINS1,AR
LIPA,AR
LIPT1,AR
LITAF,AD
LMAN1,AR
LMBRD1,AR
LMNA,AD
LMNA,SD
LMNA,AD
LMOD3,AR
LMX1B,AD
LONP1,AR
LOXHD1,AR
LPIN1,AR
LPIN2,AR
LRP12,AD
LRP2,AR
LRP4,AR
LRP4,AR
LRPPRC,AR
LRRC10,AR
LRRC56,AR
LRRC8A,AD
LRRK2,AD
LRSAM1,AD
LTBP2,AR
